file_name,has_bike
000000122766.jpg,0
000000076768.jpg,0
000000391304.jpg,0
000000019769.jpg,0
000000509157.jpg,0
000000248876.jpg,0
000000399548.jpg,0
000000310501.jpg,0
000000565501.jpg,0
generated_bike_7782.jpg,1
generated_bike_5313.jpg,1
000000541900.jpg,0
generated_bike_8575.jpg,1
000000459884.jpg,0
000000147586.jpg,0
generated_bike_8164.jpg,1
generated_bike_7138.jpg,1
000000285397.jpg,0
000000230893.jpg,1
generated_bike_7213.jpg,1
000000180824.jpg,0
generated_bike_8266.jpg,1
000000372824.jpg,1
000000108679.jpg,1
000000403873.jpg,1
generated_bike_8464.jpg,1
generated_bike_1178.jpg,1
000000576987.jpg,0
generated_bike_1010.jpg,1
generated_bike_646.jpg,1
generated_bike_3472.jpg,1
000000544107.jpg,0
generated_bike_4024.jpg,1
000000157314.jpg,0
generated_bike_7805.jpg,1
000000043611.jpg,0
000000178388.jpg,1
000000254536.jpg,0
generated_bike_608.jpg,1
000000245274.jpg,0
000000042697.jpg,0
000000516996.jpg,0
generated_bike_5919.jpg,1
generated_bike_1204.jpg,1
generated_bike_1691.jpg,1
000000130234.jpg,0
generated_bike_8480.jpg,1
000000190097.jpg,0
generated_bike_5021.jpg,1
000000133609.jpg,0
000000383923.jpg,0
generated_bike_798.jpg,1
generated_bike_167.jpg,1
000000512918.jpg,0
generated_bike_6214.jpg,1
000000052644.jpg,1
000000043809.jpg,0
generated_bike_9086.jpg,1
000000565085.jpg,1
000000539920.jpg,0
generated_bike_25.jpg,1
000000317015.jpg,0
000000024386.jpg,0
000000401868.jpg,0
000000426532.jpg,1
000000385567.jpg,1
000000046211.jpg,0
000000031339.jpg,0
generated_bike_5137.jpg,1
000000250048.jpg,0
000000046068.jpg,1
000000283524.jpg,1
000000546773.jpg,0
000000303210.jpg,1
000000467447.jpg,0
generated_bike_1489.jpg,1
generated_bike_3237.jpg,1
000000088325.jpg,1
generated_bike_529.jpg,1
000000080771.jpg,0
generated_bike_8454.jpg,1
generated_bike_4948.jpg,1
generated_bike_5864.jpg,1
000000507794.jpg,0
generated_bike_4360.jpg,1
000000149974.jpg,0
000000279848.jpg,0
generated_bike_7417.jpg,1
000000539419.jpg,0
generated_bike_2813.jpg,1
000000058464.jpg,1
generated_bike_4729.jpg,1
generated_bike_6185.jpg,1
generated_bike_6102.jpg,1
000000265243.jpg,0
000000289515.jpg,1
generated_bike_5831.jpg,1
000000278636.jpg,0
000000060467.jpg,0
000000289610.jpg,0
generated_bike_5323.jpg,1
000000451353.jpg,0
000000233642.jpg,0
generated_bike_8170.jpg,1
000000061219.jpg,1
000000382316.jpg,1
000000570783.jpg,1
generated_bike_4183.jpg,1
000000401835.jpg,0
000000348306.jpg,1
000000469053.jpg,0
generated_bike_3346.jpg,1
generated_bike_1403.jpg,1
000000485687.jpg,0
generated_bike_6365.jpg,1
